image_path,xmin,ymin,xmax,ymax,label,detection_score,color_detected,mapping_method,mapping_error_px,in_bounds,box_width,box_height,image_id,colony,year,dotter,original_width,original_height,x_screenshot,y_screenshot,x_original,y_original,confidence_tier
D_original.jpg,1177,1516,1257,1596,BRPE,114.1,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,310.3,421.3,1217.8,1556.4,GOLD
D_original.jpg,1216,2692,1296,2772,BRPE,113.2,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,319.8,713.3,1256.6,2732.6,GOLD
D_original.jpg,2516,2289,2596,2369,BRPE,112.3,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,640.6,610.7,2556.8,2329.8,GOLD
D_original.jpg,3046,2323,3126,2403,BRPE,107.8,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,770.0,618.0,3086.1,2363.9,GOLD
D_original.jpg,2343,47,2423,127,BRPE,105.4,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,599.1,56.3,2384.0,87.7,GOLD
D_original.jpg,1889,1732,1969,1812,BRPE,101.9,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,486.6,474.1,1929.9,1772.8,GOLD
D_original.jpg,2155,1411,2235,1491,BRPE,100.7,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,552.3,394.2,2196.0,1451.4,GOLD
D_original.jpg,1938,569,2018,649,BRPE,99.9,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,498.9,185.6,1978.3,609.3,GOLD
D_original.jpg,1751,267,1831,347,BRPE,97.2,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,452.9,110.7,1791.9,307.9,GOLD
D_original.jpg,1785,187,1865,267,BRPE,96.4,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,461.3,90.6,1825.8,227.0,GOLD
D_original.jpg,1637,505,1717,585,BRPE,95.7,red,sift_homography,0.5,True,80,80,D,Raccoon Island,2011,SLF,4752,3168,424.4,169.7,1677.0,545.4,GOLD
